name,x,y
701207934,-3.624063,55.9710163
701207972,-3.6227165,55.9706591
701207982,-3.6224751,55.9707732
701207994,-3.6227111,55.97059
701207997,-3.6238861,55.9704499
701208002,-3.6238323,55.9700377
701208005,-3.6235051,55.9697285
701208010,-3.6235641,55.9700587
701208012,-3.6234353,55.9701097
701208014,-3.6235158,55.9699896
701208019,-3.6245024,55.9704267
701208022,-3.6245887,55.9708362
701208024,-3.6244867,55.9708933
701208035,-3.624755,55.9708242
702179448,-3.6206266,55.9751797
702179450,-3.6200946,55.9758422
702179451,-3.6202996,55.9756374
702179453,-3.620727,55.9758066
702179454,-3.6208137,55.9757945
702179472,-3.6203386,55.9761975
702179476,-3.6190868,55.975801
702179483,-3.6195027,55.9755532
702179484,-3.6195113,55.975638
702179486,-3.6191652,55.9756351
702179493,-3.619158,55.9760585
702179494,-3.6198696,55.9760098
702181552,-3.6162256,55.9750698
702181553,-3.6159661,55.9746781
702181554,-3.6168799,55.9749437
711403226,-3.6212509,55.9792185
7521619353,-3.6007985,55.9772386
7521619356,-3.6007127,55.9769639
