name,start_node,end_node,length_m,free_flow_speed_mps,jam_density,number_of_lanes,highway,oneway
tc_863404878_863404873_0,863404878,863404873,82.24860032822701,13.411200000000001,0.2,1,residential,False
tc_863404878_863405139_0,863404878,863405139,32.60109407258177,13.411200000000001,0.2,1,residential,False
tc_863404878_863405141_0,863404878,863405141,64.95751253645336,13.411200000000001,0.2,1,residential,False
tc_863404997_863404873_0,863404997,863404873,43.162705714399415,13.411200000000001,0.2,1,residential,False
tc_863405139_863404878_0,863405139,863404878,32.60109407258177,13.411200000000001,0.2,1,residential,False
tc_863405141_863404878_0,863405141,863404878,64.95751253645336,13.411200000000001,0.2,1,residential,False
tc_8856171269_1596861450_0,8856171269,1596861450,59.097455385169894,8.88888888888889,0.2,1,unclassified,False
tc_885842628_691475165_0,885842628,691475165,32.092134422531885,13.411200000000001,0.2,1,residential,False
tc_8993552625_7521619353_0,8993552625,7521619353,101.32808806028956,8.940800000000001,0.2,1,unclassified,False
tc_9452529379_863385918_0,9452529379,863385918,60.47202885666598,13.411200000000001,0.2,1,residential,False
tc_9554344873_410182016_0,9554344873,410182016,152.20732076541594,13.411200000000001,0.2,1,residential,False
tc_9554344873_410182022_0,9554344873,410182022,78.55750509736248,13.411200000000001,0.2,1,residential,False
tc_9554344873_9554344877_0,9554344873,9554344877,149.49432033317893,8.88888888888889,0.2,1,residential,False
tc_9554344877_11305234656_0,9554344877,11305234656,273.04473190830873,8.88888888888889,0.2,1,residential,False
tc_9554344877_9554344873_0,9554344877,9554344873,149.49432033317893,8.88888888888889,0.2,1,residential,False
tc_9554344877_9554344887_0,9554344877,9554344887,200.40892242715125,8.88888888888889,0.2,1,residential,False
tc_9554344885_11305234656_0,9554344885,11305234656,19.360853211839515,8.88888888888889,0.2,1,residential,False
tc_9554344887_9554344877_0,9554344887,9554344877,200.40892242715125,8.88888888888889,0.2,1,residential,False
tc_9785409376_369817335_0,9785409376,369817335,30.276240155331124,13.411200000000001,0.2,1,residential,False
